GID_2,NAME_2,NAME_1,region,GAUL_ADM2_NAME,GAUL_ADM1_NAME,NDVI_mean,NDVI_stdDev,NDBI_mean,NDBI_stdDev,urban_gradient_mean,n_lethal,n_protest,n_routine,log_n_routine,log_n_protest
IDN.2.8_1,Klungkung,Bali,Bali & NT,Klungkung,Bali,0.4728176867552416,0.220023342044958,-0.1493338335588063,0.1709386880461463,-0.634487130158075,0,2,0,0.0,0.4771
IDN.2.9_1,Tabanan,Bali,Bali & NT,Tabanan,Bali,0.6774720071744769,0.1774892110589355,-0.2837443398012126,0.1106889771111837,-0.96121634697569,0,4,0,0.0,0.699
IDN.3.4_1,Bangka,BangkaBelitung,Sumatra,Bangka,Bangka Belitung,0.6877928397013378,0.2242500252134953,-0.2995264923840372,0.1387944025048642,-0.9874115297245032,0,17,0,0.0,1.2553
IDN.3.1_1,BangkaBarat,BangkaBelitung,Sumatra,Bangka Barat,Bangka Belitung,0.6833715384837751,0.2142580429800746,-0.2918482577764973,0.1456434355907794,-0.9753908388344869,0,7,0,0.0,0.9031
IDN.3.2_1,BangkaSelatan,BangkaBelitung,Sumatra,Bangka Selatan,Bangka Belitung,0.7445519737236832,0.2074480050520603,-0.3414635629877937,0.1310825981217036,-1.086191516513341,0,19,0,0.0,1.301
IDN.3.3_1,BangkaTengah,BangkaBelitung,Sumatra,Bangka Tengah,Bangka Belitung,0.7040542682683785,0.2171454926845178,-0.3075718747223235,0.1370228867589479,-1.0120418029790423,0,21,0,0.0,1.3424
IDN.3.6_1,Belitung,BangkaBelitung,Sumatra,Belitung,Bangka Belitung,0.7044586035409663,0.2487385688670431,-0.3283642165045403,0.1524855448027159,-1.0351057852421104,0,17,0,0.0,1.2553
IDN.3.5_1,BelitungTimur,BangkaBelitung,Sumatra,Belitung Timur,Bangka Belitung,0.6845924399307803,0.2393861448959857,-0.2988900845912873,0.1554386637211703,-0.9837913077447392,0,5,0,0.0,0.7782
IDN.3.7_1,Pangkalpinang,BangkaBelitung,Sumatra,Kota Pangkalpinang,Bangka Belitung,0.539275702256856,0.2116221667452498,-0.1726160427202588,0.1477069963350765,-0.711891744977116,0,69,1,0.301,1.8451
IDN.4.1_1,Cilegon,Banten,Java,Kota Cilegon,Banten,0.3767975105378759,0.2122149122087492,-0.0713392217050892,0.1571892014207052,-0.4495456561911514,0,27,0,0.0,1.4472
IDN.4.2_1,KotaSerang,Banten,Java,Serang,Banten,0.536833262628276,0.2318185802102678,-0.1809052584122745,0.1539356829153018,-0.7179560771411706,0,133,7,0.9031,2.1271
IDN.4.3_1,KotaTangerang,Banten,Java,Tangerang,Banten,0.3699116381331692,0.1408817025370447,-0.057397731890967946,0.0998033255868252,-0.4273093700241373,0,119,2,0.4771,2.0792
IDN.4.4_1,Lebak,Banten,Java,Lebak,Banten,0.7449844341910846,0.1208502172178029,-0.2929121290151033,0.082781751158195,-1.037925493760179,0,37,3,0.6021,1.5798
IDN.4.5_1,Pandeglang,Banten,Java,Pandeglang,Banten,0.6859775868919381,0.20448944633935,-0.2692338993556988,0.1588411500752516,-0.9588284587326592,0,23,0,0.0,1.3802
