ADM1_NAME,ADM2_NAME,ADM2_CODE,NDVI_mean,NDVI_stdDev,NDBI_mean,NDBI_stdDev,urban_gradient_mean
Nangroe Aceh Darussalam,Bireuen,73657,0.7242071780084678,0.2506412870790832,-0.34595851392903376,0.11172219892260993,-1.0705303827562596
Nangroe Aceh Darussalam,Simeulue,73850,0.7249939548705242,0.25642118699454347,-0.37334459784639495,0.1702894575530744,-1.104498890640113
Jambi,Batanghari,73647,0.7190607868957273,0.1663196203123694,-0.30334636242677726,0.1003794775053421,-1.022407149322496
Jambi,Bungo,73663,0.7689259686533824,0.14659110645052026,-0.3194827775541439,0.07818039797013623,-1.0884059902637828
Jambi,Merangin,73795,0.7502758382243169,0.17514970423832027,-0.3375577043698972,0.07647524528945687,-1.0877963039924494
Jambi,Muarojambi,73803,0.6881922838246612,0.18503966662735963,-0.31480386139509586,0.11707510524746038,-1.0029961452197511
Jambi,Sarolangun,73841,0.772742118950303,0.11271820552250969,-0.3282210717362284,0.09436434740737157,-1.1009560430768335
Jambi,Tanjungjabung Barat,73862,0.7257651676248292,0.13871111216234405,-0.33400910400396383,0.11735458000382676,-1.0597742716288143
Jambi,Tanjungjabung Timur,73863,0.6872260577306882,0.18083598889947056,-0.3444745481455733,0.10961727093851328,-1.03165742808584
Jambi,Tebo,73868,0.7001781345817777,0.18242850430265006,-0.28449264448487077,0.08915529111449093,-0.9846647842543339
Kalimantan Barat,Landak,73773,0.7877457633706143,0.120609739340767,-0.3405297708089414,0.08569393771874939,-1.1282703876466764
Kalimantan Barat,Pontianak,73829,0.7452365295810619,0.19178405544559943,-0.37388082184453547,0.12942775536991213,-1.1191169964056231
Kalimantan Timur,Bulungan,73662,0.7102362015477001,0.30913297919445554,-0.37455219337014106,0.13255594220012504,-1.084996498878909
Kalimantan Timur,Kota Bontang,73715,0.6469529444389016,0.2876242029883536,-0.31414067123286066,0.14189358733862112,-0.9600712383484392
Kalimantan Timur,Kutai Barat,73766,0.5838729570116153,0.2842557267132975,-0.3205865709927945,0.11682172947663451,-0.9044327810567415
Kalimantan Timur,Kutai Kartanegara,73767,0.6957677419058583,0.2499527794179981,-0.3112508404761007,0.1370862915282164,-1.0069449085033528
Kalimantan Timur,Kutai Timur,73768,0.7130842248427524,0.24187741141129548,-0.3239824776223267,0.1171327513613296,-1.0370583072533905
Kalimantan Timur,Malinau,73793,0.7688202761269447,0.16750938123805262,-0.38966830196705743,0.07169310852498387,-1.1584542591273286
Kalimantan Timur,Nunukan,73813,0.45706800146510335,0.352623317696062,-0.32886907713929076,0.1749909212209779,-0.7859244774875828
Nusatenggara Timur,Flores Timur,73673,0.6991047910102449,0.1729172534908172,-0.21679634647260046,0.23835516597003115,-0.9406746723178213
Nusatenggara Timur,Lembata,73775,0.6358309931298517,0.20775191874109536,-0.15313487787539054,0.23477856334809358,-0.8132479712079537
Sulawesi Tengah,Banggai Kepulauan,73637,0.18849408602577192,0.2223722307492705,-0.4147563183814276,0.13172939351308877,-0.604178171217141
Sulawesi Tengah,Banggai,73638,0.6478019023204089,0.2838708297670954,-0.3324595390048373,0.14580019151872095,-0.9873960068055364
Sulawesi Tengah,Buol,73664,0.7985619127935453,0.1705474658083787,-0.3947314701655094,0.10863587052992345,-1.1939715146804526
Sulawesi Tengah,Morowali,73801,0.7145976224148791,0.23813034340435932,-0.32276118117439284,0.13066802513415435,-1.0375327194523685
Sulawesi Tengah,Toli-toli,73873,0.7582988889750846,0.22534250665858552,-0.35318803734041565,0.16365506004569602,-1.123001030435509
Sumatera Barat,Kepulauan Mentawai,73696,0.7144621411437226,0.25404235392509816,-0.3861885040766894,0.1841859936622606,-1.1127523567018613
